ordem,nome_feature,origem,tipo,descricao,justificativa_permanencia
1,method_is_post,method,binaria,Indica se o método é POST.,Representa o método sem codificação ordinal; GET é a categoria-base e outros métodos continuam distinguíveis.
2,method_is_put,method,binaria,Indica se o método é PUT.,Representa o método sem codificação ordinal; GET é a categoria-base e outros métodos continuam distinguíveis.
3,method_is_other,method,binaria,Indica se o método é diferente de GET/POST/PUT.,Representa o método sem codificação ordinal; GET é a categoria-base e outros métodos continuam distinguíveis.
4,url_length_raw,url,contagem,Comprimento bruto. Aplicada a url.,Descreve formato geral do request-target e inconsistências reproduzíveis no WAF.
5,url_is_absolute,url,binaria,Target em forma absoluta.,Descreve formato geral do request-target e inconsistências reproduzíveis no WAF.
6,url_parse_error,url,binaria,Falha estrutural no parsing geral da URL.,Descreve formato geral do request-target e inconsistências reproduzíveis no WAF.
7,url_host_present,url,binaria,Host presente no target.,"Representa genericamente presença, forma e coerência do host sem memorizar hostname do CSIC."
8,url_host_is_ip,url,binaria,Hostname é endereço IP.,"Representa genericamente presença, forma e coerência do host sem memorizar hostname do CSIC."
9,url_host_non_ascii_count,url,contagem,Caracteres não ASCII no hostname.,"Representa genericamente presença, forma e coerência do host sem memorizar hostname do CSIC."
10,url_userinfo_present,url,binaria,Credenciais/userinfo na autoridade.,Descreve formato geral do request-target e inconsistências reproduzíveis no WAF.
11,url_port_present,url,binaria,Delimitador de porta explícito.,"Preserva separadamente ausência e invalidade da porta, sem converter falha de parsing em valor válido."
12,url_port_valid,url,binaria,Porta explícita numericamente válida.,"Preserva separadamente ausência e invalidade da porta, sem converter falha de parsing em valor válido."
13,url_fragment_present,url,binaria,Fragmento presente no target.,Descreve formato geral do request-target e inconsistências reproduzíveis no WAF.
14,path_length_raw,path,contagem,Comprimento bruto. Aplicada a path.,"Preserva estrutura do path, inclusive codificação, segmentos e extensões, pouco representadas no Experimento 1."
15,path_percent_encoding_count,path,contagem,Quantidade de sequências percent-encoded válidas. Aplicada a path.,"Preserva estrutura do path, inclusive codificação, segmentos e extensões, pouco representadas no Experimento 1."
16,path_invalid_percent_count,path,contagem,Sinais de porcentagem sem par hexadecimal válido. Aplicada a path.,"Preserva estrutura do path, inclusive codificação, segmentos e extensões, pouco representadas no Experimento 1."
17,path_non_ascii_count,path,contagem,Caracteres não ASCII após uma decodificação. Aplicada a path.,"Preserva estrutura do path, inclusive codificação, segmentos e extensões, pouco representadas no Experimento 1."
18,path_control_char_count,path,contagem,Caracteres de controle. Aplicada a path.,"Preserva estrutura do path, inclusive codificação, segmentos e extensões, pouco representadas no Experimento 1."
19,path_digit_ratio,path,continua,Proporção de caracteres numéricos. Aplicada a path.,"Preserva estrutura do path, inclusive codificação, segmentos e extensões, pouco representadas no Experimento 1."
20,path_special_ratio,path,continua,Proporção de caracteres especiais. Aplicada a path.,"Preserva estrutura do path, inclusive codificação, segmentos e extensões, pouco representadas no Experimento 1."
21,path_sql_pattern_count,path,contagem,Ocorrências de padrões SQL genéricos. Aplicada a path.,"Sinal genérico de conteúdo defensivo aplicado ao path, sem depender de texto específico do corpus."
22,path_xss_pattern_count,path,contagem,Ocorrências de padrões XSS genéricos. Aplicada a path.,"Sinal genérico de conteúdo defensivo aplicado ao path, sem depender de texto específico do corpus."
23,path_traversal_pattern_count,path,contagem,Ocorrências de segmentos de navegação relativa. Aplicada a path.,"Sinal genérico de conteúdo defensivo aplicado ao path, sem depender de texto específico do corpus."
24,path_shell_metachar_count,path,contagem,Metacaracteres comuns de shell/comando. Aplicada a path.,"Sinal genérico de conteúdo defensivo aplicado ao path, sem depender de texto específico do corpus."
25,path_segment_count,path,contagem,Quantidade de segmentos não vazios.,"Preserva estrutura do path, inclusive codificação, segmentos e extensões, pouco representadas no Experimento 1."
26,path_double_slash_count,path,contagem,Ocorrências de barras duplas.,"Preserva estrutura do path, inclusive codificação, segmentos e extensões, pouco representadas no Experimento 1."
27,path_extension_like_segment_count,path,contagem,Segmentos com aparência de extensão.,"Preserva estrutura do path, inclusive codificação, segmentos e extensões, pouco representadas no Experimento 1."
28,path_hidden_segment_count,path,contagem,Segmentos iniciados por ponto.,"Preserva estrutura do path, inclusive codificação, segmentos e extensões, pouco representadas no Experimento 1."
29,path_nested_extension_transition,path,binaria,Extensão seguida de outro segmento com aparência de extensão.,"Preserva estrutura do path, inclusive codificação, segmentos e extensões, pouco representadas no Experimento 1."
30,path_max_segment_length,path,contagem,Maior comprimento de segmento.,"Preserva estrutura do path, inclusive codificação, segmentos e extensões, pouco representadas no Experimento 1."
31,path_backslash_count,path,contagem,Quantidade de barras invertidas.,"Preserva estrutura do path, inclusive codificação, segmentos e extensões, pouco representadas no Experimento 1."
32,query_present,query,binaria,Presença do componente. Aplicada a query.,Distingue ausência legítima do componente de medidas numericamente iguais a zero.
33,query_length_raw,query,contagem,Comprimento bruto. Aplicada a query.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
34,query_percent_encoding_count,query,contagem,Quantidade de sequências percent-encoded válidas. Aplicada a query.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
35,query_invalid_percent_count,query,contagem,Sinais de porcentagem sem par hexadecimal válido. Aplicada a query.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
36,query_non_ascii_count,query,contagem,Caracteres não ASCII após uma decodificação. Aplicada a query.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
37,query_control_char_count,query,contagem,Caracteres de controle. Aplicada a query.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
38,query_digit_ratio,query,continua,Proporção de caracteres numéricos. Aplicada a query.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
39,query_special_ratio,query,continua,Proporção de caracteres especiais. Aplicada a query.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
40,query_sql_pattern_count,query,contagem,Ocorrências de padrões SQL genéricos. Aplicada a query.,Contagem genérica de padrões defensivos; reproduzível e independente de nomes específicos de parâmetros.
41,query_xss_pattern_count,query,contagem,Ocorrências de padrões XSS genéricos. Aplicada a query.,Contagem genérica de padrões defensivos; reproduzível e independente de nomes específicos de parâmetros.
42,query_traversal_pattern_count,query,contagem,Ocorrências de segmentos de navegação relativa. Aplicada a query.,Contagem genérica de padrões defensivos; reproduzível e independente de nomes específicos de parâmetros.
43,query_shell_metachar_count,query,contagem,Metacaracteres comuns de shell/comando. Aplicada a query.,Contagem genérica de padrões defensivos; reproduzível e independente de nomes específicos de parâmetros.
